family_size,state_median_income_75_pct,federal_poverty_level_200_pct,state_median_income,federal_poverty_level
1,43895,24280,58526.666666666664,12140.0
2,57400,32920,76533.33333333333,16460.0
3,70906,41560,94541.33333333333,20780.0
4,84413,50200,112550.66666666667,25100.0
5,97919,58840,130558.66666666667,29420.0
6,111452,67480,148602.66666666666,33740.0
7,113957,76120,151942.66666666666,38060.0
8,116489,84760,155318.66666666666,42380.0
9,119022,93400,158696.0,46700.0
10,121554,102040,162072.0,51020.0
11,124086,110680,165448.0,55340.0
12,126619,119320,168825.33333333334,59660.0
